epoch,accuracy,loss,val_accuracy,val_loss
0,0.5162200331687927,1.1555335521697998,0.6486430764198303,0.9393786191940308
1,0.6961389183998108,0.8248329162597656,0.6889391541481018,0.8067784309387207
2,0.7795310020446777,0.6242684125900269,0.7469161152839661,0.7497861981391907
3,0.8357722163200378,0.4956226348876953,0.8053042888641357,0.5617291331291199
4,0.8680359721183777,0.40828830003738403,0.8480674624443054,0.4757035970687866
5,0.8914844989776611,0.34959784150123596,0.8431332111358643,0.49365299940109253
6,0.915726363658905,0.28507357835769653,0.8729440569877625,0.4052410423755646
7,0.9216325879096985,0.2669661045074463,0.8725329041481018,0.44449761509895325
8,0.9361777305603027,0.23411239683628082,0.8900082111358643,0.39026156067848206
9,0.9481664299964905,0.19598209857940674,0.8830180764198303,0.3987314999103546
10,0.942700982093811,0.20897477865219116,0.8916529417037964,0.38828572630882263
11,0.9500176310539246,0.18616878986358643,0.8285362124443054,0.547295093536377
12,0.9547778367996216,0.17349852621555328,0.9035773277282715,0.356825053691864
13,0.9688822031021118,0.1408480703830719,0.8965871930122375,0.38018059730529785
14,0.9493123888969421,0.18746289610862732,0.8910362124443054,0.4013143479824066
15,0.9700282216072083,0.1263401210308075,0.8912417888641357,0.3960181176662445
16,0.9584802389144897,0.15681785345077515,0.8830180764198303,0.4316766560077667
17,0.9704689979553223,0.12512850761413574,0.8984375,0.383928507566452
18,0.9711741805076599,0.12042120099067688,0.9037829041481018,0.36604204773902893
19,0.9660613536834717,0.13646651804447174,0.8928865194320679,0.4132111072540283
20,0.9729372262954712,0.12184184789657593,0.9064555764198303,0.3912107050418854
21,0.9739950895309448,0.11482883244752884,0.8990542888641357,0.4112702012062073
22,0.9709978699684143,0.12164273113012314,0.90625,0.3902890682220459
23,0.9751410484313965,0.10913725197315216,0.9072779417037964,0.39256706833839417
24,0.9755818247795105,0.10737696290016174,0.9085115194320679,0.3807712495326996
25,0.9709097146987915,0.11897611618041992,0.8998766541481018,0.39497748017311096
26,0.9729372262954712,0.11148364096879959,0.9006990194320679,0.40348348021507263
27,0.9732898473739624,0.1096377968788147,0.8852795958518982,0.46136319637298584
28,0.973466157913208,0.11029425263404846,0.9183799624443054,0.33835282921791077
29,0.9783145189285278,0.09926479309797287,0.8912417888641357,0.4331331253051758
30,0.9765514731407166,0.10904849320650101,0.9019325375556946,0.38853511214256287
31,0.9802538752555847,0.09393295645713806,0.9122121930122375,0.35864657163619995
32,0.9797249436378479,0.09226250648498535,0.90625,0.39049795269966125
33,0.9860719442367554,0.0737442746758461,0.9159128069877625,0.3768905699253082
34,0.9765514731407166,0.09675559401512146,0.9081003069877625,0.38258400559425354
35,0.9733780026435852,0.10873512923717499,0.9085115194320679,0.3620702028274536
36,0.9855430126190186,0.07593721151351929,0.9083059430122375,0.3942754566669464
37,0.9808709621429443,0.08628298342227936,0.9085115194320679,0.4057871401309967
38,0.9884520173072815,0.06620018929243088,0.9169408082962036,0.3346615135669708
39,0.9776093363761902,0.10021010786294937,0.9113898277282715,0.386014461517334
